sample,genus,taxon,group,country,r1,r2
763,Dactylorhiza,euxina,euxina,TUR,../chloro/raw-data/Sample_763/763_S67_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_763/763_S67_L007_R2_001.fastq.gz
2740,Pseudorchis,straminea,Pseudorchis,SWE,../chloro/raw-data/Sample_2740/2740_S68_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2740/2740_S68_L007_R2_001.fastq.gz
2127,Dactylorhiza,cordigera,cordigera,GRE,../chloro/raw-data/Sample_2127/2127_S69_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2127/2127_S69_L007_R2_001.fastq.gz
3358,Dactylorhiza,armeniaca,armeniaca,GEO,../chloro/raw-data/Sample_3358/3358_S70_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_3358/3358_S70_L007_R2_001.fastq.gz
4084,Dactylorhiza,lapponica,majalis,SWE,../chloro/raw-data/Sample_4084/4084_S71_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_4084/4084_S71_L007_R2_001.fastq.gz
4204,Dactylorhiza,russowii,majalis,EST,../chloro/raw-data/Sample_4204/4204_S72_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_4204/4204_S72_L007_R2_001.fastq.gz
8625,Dactylorhiza,caramulensis,maculata,POR,../chloro/raw-data/Sample_8625/8625_S73_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_8625/8625_S73_L007_R2_001.fastq.gz
9779,Nigritella,nigra,nigra,SWE,../chloro/raw-data/Sample_9779/9779_S74_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_9779/9779_S74_L007_R2_001.fastq.gz
8424,Dactylorhiza,viridis,viridis,ISL,../chloro/raw-data/Sample_8424/8424_S75_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_8424/8424_S75_L007_R2_001.fastq.gz
9696,Nigritella,rhellicani,dipl_Nigritella,ITA,../chloro/raw-data/Sample_9696/9696_S76_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_9696/9696_S76_L007_R2_001.fastq.gz
20,Dactylorhiza,maculata,maculata,SWE,../chloro/raw-data/Sample_20/20_S77_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_20/20_S77_L007_R2_001.fastq.gz
425,Dactylorhiza,maculata,maculata,SWE,../chloro/raw-data/Sample_425/425_S78_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_425/425_S78_L007_R2_001.fastq.gz
633,Dactylorhiza,cordigera,cordigera,GRE,../chloro/raw-data/Sample_633/633_S79_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_633/633_S79_L007_R2_001.fastq.gz
2105,Dactylorhiza,mad,mad,GRE,../chloro/raw-data/Sample_2105/2105_S80_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2105/2105_S80_L007_R2_001.fastq.gz
2170,Dactylorhiza,elatior,allo_odd,SWE,../chloro/raw-data/Sample_2170/2170_S81_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2170/2170_S81_L007_R2_001.fastq.gz
2723,Dactylorhiza,saccifera,maculata,ITA,../chloro/raw-data/Sample_2723/2723_S82_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2723/2723_S82_L007_R2_001.fastq.gz
